20
0,762 0
1,23 39
80,117 94
649,683 88
237,246 72
395,444 56
41,59 54
487,501 70
140,158 51
357,388 100
340,366 5
315,341 26
578,622 100
53,80 10
162,190 41
184,235 39
79,110 41
293,303 55
112,135 68
20,39 8
0.0 38.2 81.3 103.8 21.6 9.6 90.6 42.5 29.8 50.4 62.9 68.4 25.4 70.4 86.7 18.1 80.5 54.3 17.2 15.8 
41.6 0.0 50.1 67.7 35.9 29.7 76.9 32.1 30.2 14.3 34.5 38.4 13.3 52.2 57.0 27.3 46.1 19.3 27.9 44.0 
82.4 54.0 0.0 28.9 66.4 75.6 46.0 43.8 80.3 50.7 68.7 68.4 61.7 28.5 7.5 76.3 62.9 31.0 64.8 78.4 
105.0 72.3 33.2 0.0 92.2 96.7 70.3 71.0 95.8 62.1 73.0 70.3 80.9 57.0 30.0 95.1 59.0 49.6 88.8 103.8 
24.6 38.0 70.4 95.2 0.0 23.9 69.5 23.6 44.4 50.3 68.6 73.3 28.6 50.7 70.6 32.3 82.1 45.1 9.5 12.0 
11.7 32.7 80.2 99.1 25.5 0.0 89.7 40.4 21.6 41.1 53.3 58.8 16.5 67.9 81.5 9.3 70.9 47.1 16.1 22.8 
92.1 79.1 47.2 73.8 72.4 91.9 0.0 49.4 103.8 84.8 106.3 107.6 82.7 24.8 41.2 95.0 105.9 63.5 74.1 79.9 
47.5 35.6 48.2 71.1 28.5 43.9 50.0 0.0 55.0 44.5 66.2 69.5 34.1 27.8 47.4 45.6 73.9 29.8 25.3 35.6 
30.6 34.8 84.2 96.2 46.0 22.1 108.3 55.1 0.0 34.0 37.1 42.9 21.1 80.1 87.2 12.3 57.3 49.4 35.3 44.4 
55.3 18.4 55.0 65.2 51.3 44.5 85.5 45.7 36.6 0.0 22.0 24.9 25.0 60.0 58.1 36.1 31.7 21.5 42.0 57.9 
64.0 36.0 69.9 73.5 71.7 56.2 108.9 69.7 38.6 22.1 0.0 5.8 40.3 81.6 76.3 45.4 21.1 42.7 59.4 74.0 
70.1 43.1 73.2 71.9 78.3 59.4 109.6 70.7 47.4 25.6 8.9 0.0 45.3 83.2 75.9 51.0 15.7 44.3 64.3 79.1 
28.4 17.0 65.9 85.8 31.4 18.3 84.8 38.2 21.6 29.9 40.6 49.8 0.0 59.0 68.1 14.6 55.9 31.7 19.2 33.8 
74.4 55.1 30.0 61.2 53.8 69.3 27.5 29.8 81.5 64.6 85.0 83.5 62.9 0.0 27.6 72.1 82.4 38.9 53.2 62.4 
89.7 59.1 10.5 33.8 74.2 82.5 42.4 50.0 89.5 62.6 81.2 80.0 70.4 28.0 0.0 82.7 70.0 38.0 69.8 82.7 
19.7 31.9 76.4 95.3 35.6 10.4 95.1 48.5 16.4 41.1 47.5 52.3 16.7 74.2 86.0 0.0 64.0 46.2 23.5 32.1 
85.4 47.9 63.6 63.0 82.9 75.2 107.7 75.5 59.0 35.9 25.6 19.9 59.7 86.9 72.2 67.6 0.0 45.4 73.7 89.5 
55.0 19.9 31.9 53.0 49.1 47.8 66.3 33.4 50.7 24.7 45.1 46.3 35.8 39.7 41.9 50.4 49.8 0.0 40.0 55.8 
19.8 30.7 68.9 89.9 13.2 18.6 78.2 25.6 38.5 42.2 64.2 68.1 22.0 54.1 74.3 28.3 74.5 41.5 0.0 16.2 
19.9 45.1 78.5 106.8 15.5 27.2 82.5 36.9 46.3 61.0 78.9 82.8 36.6 65.4 85.2 32.1 93.3 58.4 20.9 0.0 
