40
0,1079 0
90,104 18
669,716 63
316,344 81
379,419 93
405,437 49
224,251 36
266,291 95
544,561 13
36,50 86
585,618 44
292,347 67
366,396 46
442,460 70
887,936 48
409,430 27
206,230 98
5,39 47
359,398 33
288,301 69
1023,1058 15
52,73 94
389,413 22
44,81 84
705,721 69
804,815 78
511,541 26
322,361 29
177,223 18
351,383 12
466,515 79
168,201 16
136,166 100
171,208 44
107,136 45
144,201 60
48,81 84
306,346 13
474,502 39
640,666 79
0.0 61.5 48.8 73.9 64.6 91.1 81.5 91.3 37.8 51.0 49.2 59.2 81.9 79.3 81.0 86.3 60.2 52.4 58.4 89.8 24.3 66.6 23.4 81.0 36.8 78.8 45.6 76.8 47.6 83.2 83.6 49.7 78.3 27.5 67.3 18.6 47.2 91.6 15.2 78.5 
63.9 0.0 29.1 18.8 12.8 113.1 83.6 84.3 75.1 37.6 37.6 27.0 36.6 19.0 29.2 99.4 97.3 14.4 59.8 108.6 72.2 14.6 79.3 19.9 76.8 49.9 18.3 82.5 26.0 59.0 86.4 74.1 87.7 77.6 77.2 78.5 25.6 71.6 46.2 109.0 
51.1 31.6 0.0 29.9 22.4 84.0 56.0 59.1 49.0 8.9 8.5 10.5 33.2 46.8 33.9 70.7 69.5 14.8 31.0 79.6 50.0 23.3 59.4 46.7 51.2 32.4 15.0 54.2 3.7 39.4 58.8 45.6 59.1 55.3 48.3 61.4 4.4 50.8 35.9 80.1 
77.2 20.1 30.8 0.0 9.3 108.6 75.5 73.4 79.0 35.6 36.4 21.6 18.9 24.1 10.4 93.2 98.7 21.5 55.4 103.5 79.5 7.3 88.2 22.2 81.2 36.2 28.4 75.7 28.8 45.5 78.3 74.3 81.4 84.9 72.4 89.2 28.8 58.0 59.1 107.4 
65.5 12.8 26.0 14.3 0.0 104.4 73.0 72.6 71.3 29.4 29.9 16.4 24.1 25.7 18.2 89.8 92.0 12.2 50.8 99.5 70.9 2.2 79.4 24.9 73.4 37.2 19.1 72.5 20.6 46.4 75.8 67.9 78.0 76.4 68.2 80.0 20.5 59.0 49.7 101.8 
92.5 116.4 85.4 112.5 107.8 0.0 36.6 47.4 53.2 75.5 75.5 88.0 98.2 130.0 106.1 17.5 34.9 98.8 53.6 6.2 67.6 104.4 74.4 129.4 54.6 78.3 97.4 34.1 87.3 72.0 34.6 43.3 28.0 66.5 36.2 83.1 87.8 66.0 93.2 17.1 
83.6 85.9 60.5 78.6 77.8 37.5 0.0 13.7 50.0 47.1 47.8 56.8 62.8 98.5 71.5 19.2 48.5 70.3 26.2 30.5 63.5 72.5 73.8 97.4 52.8 42.4 70.9 5.8 59.7 35.5 2.8 34.9 9.8 65.5 14.9 81.3 60.4 29.7 77.5 43.6 
94.3 85.6 63.9 74.7 76.1 48.9 14.3 0.0 62.4 50.6 51.7 57.4 58.2 97.3 67.6 30.0 62.3 72.2 33.3 41.1 75.2 71.7 85.9 95.7 65.3 37.7 74.1 19.4 62.8 29.1 14.1 47.4 23.2 77.7 27.6 93.0 63.5 19.4 85.5 56.6 
40.1 77.9 49.7 82.7 74.2 53.6 51.9 64.1 0.0 44.3 43.1 58.0 77.9 94.1 81.6 50.0 24.1 61.3 35.2 52.2 14.7 72.4 23.9 94.5 3.0 65.5 56.9 44.4 50.7 65.7 51.3 15.0 44.1 15.5 35.0 32.0 50.9 69.5 42.0 41.0 
55.3 41.1 11.4 36.5 29.7 76.6 47.3 55.1 46.4 0.0 1.7 14.0 34.1 54.7 37.3 61.9 63.0 23.5 22.2 70.9 47.8 29.9 58.0 54.3 46.8 27.8 23.8 45.3 12.6 33.3 49.9 38.7 50.2 52.8 39.6 61.3 13.3 43.7 39.9 72.3 
