40
0,901 0
799,837 31
501,528 5
475,515 59
216,254 26
120,146 37
770,799 46
151,172 5
348,387 58
527,551 3
341,393 9
14,42 34
222,231 61
454,471 89
398,446 37
281,303 62
430,455 12
292,324 84
380,404 50
385,420 96
721,752 7
121,144 82
327,356 13
70,88 30
583,614 22
725,769 57
736,744 27
237,252 80
111,129 94
127,173 16
17,30 54
132,158 75
290,325 80
426,463 30
7,12 76
671,681 89
198,220 64
739,767 58
182,206 50
411,417 48
0.0 51.3 61.7 89.8 68.0 32.5 53.0 49.7 68.3 38.3 53.3 83.0 83.5 80.6 33.3 87.8 29.8 45.5 57.2 5.8 56.4 20.8 70.1 88.2 12.6 0.7 79.6 45.3 59.4 58.5 67.0 29.9 75.2 65.5 61.5 70.6 6.3 72.2 70.2 63.3 
55.1 0.0 19.0 83.0 53.8 32.8 32.8 2.2 34.2 12.9 95.2 76.9 39.9 37.7 53.7 46.0 53.5 6.3 16.1 56.7 53.2 31.9 90.4 83.1 63.2 51.8 79.6 56.1 47.0 93.4 48.9 39.9 42.2 93.5 100.5 54.4 57.6 47.5 31.5 96.3 
64.8 19.6 0.0 68.2 39.5 33.9 22.0 21.2 15.8 27.3 97.0 62.7 22.4 19.8 53.1 27.9 54.2 20.2 4.5 66.4 43.3 40.9 83.8 68.7 72.2 62.2 67.0 51.1 34.7 92.2 34.0 40.8 23.4 89.5 100.6 39.3 67.9 30.4 12.5 94.1 
94.6 86.8 69.8 0.0 29.2 62.6 50.4 84.3 53.7 82.0 83.0 6.8 66.5 64.9 57.2 63.0 60.9 79.7 68.5 90.1 34.3 77.5 44.6 2.8 91.4 89.5 13.0 44.8 36.6 69.5 34.3 61.2 49.0 57.8 79.6 28.9 92.5 38.6 59.3 67.0 
71.4 57.7 39.8 29.4 0.0 37.0 21.4 55.1 26.3 53.4 78.5 23.3 42.7 40.4 40.0 41.4 43.3 50.6 39.4 69.9 14.2 52.1 51.4 29.4 72.9 68.0 27.9 29.4 8.8 68.5 5.6 38.0 24.4 61.0 78.6 3.0 72.1 13.2 32.2 68.3 
32.5 35.3 36.6 67.4 41.3 0.0 20.5 32.6 36.6 24.1 63.6 55.9 53.5 50.5 21.0 56.9 21.1 26.7 29.9 35.7 28.4 15.1 58.8 61.7 40.4 32.6 55.1 24.8 28.2 60.7 35.1 7.2 43.0 60.8 68.2 39.3 37.6 39.8 39.4 63.5 
56.4 33.4 25.3 50.8 22.1 20.6 0.0 34.0 17.3 32.1 77.9 44.2 35.7 32.7 34.2 37.9 36.2 29.3 20.3 56.2 21.4 34.0 61.7 50.3 60.7 53.1 46.8 29.6 14.1 71.5 17.3 25.1 22.6 67.9 80.5 22.6 58.2 19.7 21.6 73.0 
50.8 4.9 25.4 86.0 55.1 35.2 37.9 0.0 36.1 11.4 94.4 78.2 42.1 39.9 53.5 48.3 53.1 5.8 18.1 55.2 54.0 30.7 90.6 84.3 61.8 50.3 80.6 56.3 48.1 93.0 50.4 39.6 44.2 93.4 99.9 55.8 56.1 49.2 33.7 96.0 
73.0 37.7 18.2 57.9 30.4 38.0 22.2 38.3 0.0 39.6 95.0 48.8 18.7 15.8 51.4 20.6 53.5 33.8 18.0 72.1 34.3 48.1 75.4 54.5 77.1 68.6 54.2 45.8 24.4 87.9 20.7 42.1 8.1 83.0 97.2 25.4 73.9 15.1 5.9 88.9 
41.9 13.4 27.3 83.1 55.3 24.4 33.9 15.6 44.1 0.0 83.7 75.5 49.6 47.1 44.2 55.2 43.4 7.6 23.0 43.8 49.4 19.5 82.9 81.6 50.4 38.9 76.6 48.9 45.4 83.1 49.4 30.5 47.7 84.5 89.6 54.7 44.7 50.2 38.7 86.4 
57.8 98.4 98.2 84.8 82.3 65.7 82.0 94.6 95.1 84.1 0.0 78.3 113.6 110.6 43.9 115.2 42.7 88.9 93.2 48.1 64.5 64.6 41.3 80.3 42.6 52.6 70.0 49.9 73.6 15.0 81.4 56.4 98.3 28.5 9.6 81.5 49.3 89.7 99.5 19.9 
87.1 80.5 67.6 7.2 23.4 57.6 47.2 78.8 49.3 75.7 82.9 0.0 62.8 61.0 50.6 59.8 54.3 73.5 62.7 83.5 27.5 70.7 41.5 6.1 84.8 82.8 9.4 38.2 30.2 65.2 28.7 54.4 44.8 54.2 75.5 23.5 85.8 33.9 54.5 63.1 
88.4 41.7 27.2 70.7 44.5 57.3 39.4 43.0 21.5 53.2 113.8 67.2 0.0 3.0 69.9 6.7 71.8 42.3 26.9 87.9 52.6 62.7 93.4 67.9 93.4 83.9 69.7 64.6 42.7 106.7 37.3 59.6 18.3 101.6 116.0 41.0 89.5 29.6 14.2 107.6 
83.1 39.8 21.1 65.7 45.0 53.7 34.0 40.6 19.2 47.1 111.9 62.1 5.2 0.0 66.9 8.3 68.8 39.9 24.2 84.9 49.9 59.8 90.8 66.2 90.4 81.0 67.6 61.7 40.0 103.8 34.9 56.6 16.2 98.8 113.0 38.8 86.6 27.5 11.2 104.8 
35.5 56.2 57.7 60.3 44.4 24.3 39.0 58.3 56.0 47.1 44.1 51.7 72.2 67.8 0.0 71.9 3.6 47.6 49.6 33.0 26.2 28.6 40.2 55.4 34.3 33.0 46.4 12.3 32.8 39.7 41.1 13.8 55.7 40.3 47.6 43.0 35.4 48.6 55.7 42.5 
90.6 49.9 30.7 66.2 42.3 61.7 40.5 51.7 21.0 55.9 116.7 62.1 7.7 10.2 76.0 0.0 74.1 48.1 32.2 91.9 52.6 67.2 92.7 64.6 97.2 88.2 67.3 65.6 42.7 107.4 36.4 62.6 17.3 101.6 117.0 39.2 93.7 28.1 17.6 108.1 
33.9 55.3 56.5 61.7 45.4 21.3 38.3 53.2 56.6 44.8 47.1 58.9 72.1 69.8 6.2 75.6 0.0 47.3 50.5 29.3 29.7 26.7 42.5 59.1 30.6 29.5 50.0 16.0 35.9 39.8 44.2 13.8 58.1 41.5 47.1 46.3 31.7 51.4 57.5 43.0 
47.8 10.3 21.3 80.0 54.7 29.7 29.9 6.5 35.3 10.8 88.9 77.2 43.9 40.5 50.1 49.8 50.5 0.0 16.2 50.9 48.7 25.8 84.8 79.6 57.3 46.1 75.5 50.5 43.2 87.2 46.1 33.8 41.9 87.5 94.2 51.6 51.9 45.7 32.2 90.2 
58.0 20.4 4.7 71.7 39.8 33.3 20.3 20.5 22.5 23.4 93.5 65.1 29.9 26.2 51.9 32.8 54.1 18.7 0.0 61.9 41.7 36.4 81.6 68.8 67.7 57.6 66.5 48.3 33.8 88.9 34.1 36.9 26.0 86.8 97.2 39.5 63.3 31.6 15.9 91.0 
9.8 59.2 67.7 90.2 73.2 36.4 59.6 58.4 74.1 47.8 52.0 87.2 87.9 89.4 34.7 92.3 32.6 54.7 66.7 0.0 57.5 25.6 67.6 88.4 6.8 5.1 79.4 45.3 61.4 54.2 69.3 32.1 78.7 62.1 56.6 72.6 2.3 75.0 74.3 59.2 
58.2 56.9 43.5 34.9 16.3 32.1 21.9 54.4 38.8 53.4 68.5 31.5 53.6 51.7 28.4 55.9 34.1 49.3 42.4 62.1 0.0 43.2 41.1 33.3 59.9 56.3 27.2 15.1 9.9 55.2 17.0 27.0 35.2 49.0 65.0 17.3 59.8 25.4 39.9 55.5 
24.4 33.5 45.5 81.6 54.9 19.6 35.3 33.0 50.6 21.1 66.5 73.3 66.0 62.6 29.3 70.0 27.3 26.8 39.9 28.2 44.5 0.0 68.8 76.5 31.7 21.2 69.4 36.9 43.2 65.2 49.9 17.1 55.3 68.2 71.0 54.3 27.0 53.8 49.5 68.9 
74.7 92.2 88.7 46.8 52.2 62.9 64.3 92.2 78.2 86.2 45.0 43.1 97.2 94.9 44.7 95.5 47.1 85.8 86.2 71.2 41.9 69.3 0.0 41.8 65.6 69.6 32.2 34.3 50.9 26.5 56.3 52.8 75.4 13.4 36.0 53.8 69.7 64.6 81.1 22.9 
91.6 86.0 73.0 7.2 34.4 66.2 51.2 86.2 55.5 84.5 83.5 6.4 70.5 68.2 57.3 65.7 61.6 80.9 70.3 88.4 37.6 80.2 43.8 0.0 89.5 87.9 10.3 43.0 36.3 66.7 34.7 60.0 50.2 55.0 76.9 29.4 90.7 39.5 60.2 64.2 
15.5 66.4 75.8 94.8 76.0 45.2 63.9 65.2 79.7 54.9 46.0 88.4 97.5 93.4 36.8 98.5 34.6 58.6 68.1 7.1 64.0 31.8 66.3 89.6 0.0 11.9 80.1 46.6 64.7 49.9 72.8 35.9 83.3 58.8 51.4 75.7 6.9 78.9 79.5 55.1 
5.3 55.4 66.3 93.9 68.6 35.8 54.6 54.0 72.7 42.7 54.1 85.9 87.8 84.4 35.9 92.7 32.9 48.6 61.8 9.6 57.3 21.6 73.7 91.8 12.3 0.0 79.3 45.0 59.4 57.8 67.0 29.9 75.4 64.9 60.7 70.6 5.8 72.3 70.5 62.6 
82.0 82.0 68.7 15.7 30.5 59.1 50.4 83.0 55.2 80.3 71.8 13.6 73.2 72.3 46.5 72.3 51.3 77.6 69.1 81.2 31.4 73.0 35.7 12.2 84.0 81.4 0.0 34.3 32.7 56.5 33.6 52.5 51.4 45.0 66.7 29.0 81.8 40.1 60.1 54.1 
47.1 58.6 52.3 48.7 29.5 24.9 30.0 56.6 50.3 49.5 51.2 42.0 67.1 63.8 13.8 67.3 19.7 53.1 50.3 47.5 16.6 38.0 38.7 43.9 50.5 46.5 38.8 0.0 23.6 42.0 31.6 19.8 48.5 38.4 51.4 32.5 47.6 39.8 50.9 43.3 
60.7 49.1 34.9 38.5 10.5 31.1 18.2 51.6 26.2 50.2 76.9 32.6 42.9 42.4 37.1 43.3 36.1 44.2 36.4 63.4 13.9 44.8 51.4 37.8 65.4 59.5 33.7 24.7 0.0 64.9 8.3 29.4 25.3 58.9 74.6 11.2 63.6 16.1 30.2 65.3 
58.8 96.7 92.7 73.0 71.4 64.1 71.6 94.3 90.9 85.1 19.8 67.6 109.7 106.1 42.5 111.7 44.4 88.7 90.5 59.0 58.0 68.9 30.0 66.8 54.1 58.1 59.8 45.9 68.8 0.0 72.1 53.5 90.2 13.5 10.3 71.4 55.8 80.6 92.9 5.5 
